Title,Date,Content,URL
News & Events,,"Connect & Explore
Stay Connected
Discover the latest news, connect with our alumni community, and explore our national research initiatives
News & Events
Convocation 2025
A day of pride, joy and celebrated achievements!
A day of pride, joy and celebrated achievements! The atmosphere was electric today as we congratulated the brilliant graduates of the 18th Convocation of IST . Your hard work, dedication, and perseverance have finally culminated in this magnificent success. Today, we didn't just award degrees; we launched future leaders, innovators, and change-makers. The entire IST family is immensely proud of each and every one of you. Go forth and conquer! The world awaits your brilliance.
Dr. Ausima Sultan Malik, Assistant Professor, Department of Humanities & Sciences, delivered a talk at National University of Modern Languages on October 8, 2025, on the topic “Gendered Voices: Exploring Language, Power, and Identity in Sociolinguistics""
Dr. Ausima Sultan Malik, Assistant Professor, Department of Humanities & Sciences, delivered a talk at National University of Modern Languages on October 8, 2025, on the topic “Gendered Voices: Exploring Language, Power, and Identity in Sociolinguistics.” The session went beyond theoretical discussion, focusing on how language subtly shapes everyday experiences. It highlighted the ways in which word choices, silences, and patterns of speech reflect underlying structures of power, identity, and gender often in ways that remain unnoticed. The event was particularly enriched by the active engagement of the participants. Their insightful questions, personal reflections, and willingness to reconsider familiar linguistic practices through new perspectives made the session especially meaningful. Such interactions reaffirm Dr. Ausima’s continued commitment to research, teaching, and critical dialogue in the field of sociolinguistics.
Faculty Participation in the Pakistan English Conference - 2025
Ms. Qurat-ul-Ain and Ms. Ifrah Jamil , lecturers Humanities and Sciences Department, attended the Pakistan English Conference titled “Rethinking English Studies in the Global South”, at Government College University, Lahore on November 27, 2025. During the conference, Ms. Qurat-ul-Ain and Ms. Ifrah Jamil presented their research paper titled “Teaching Undergraduate Students: A Methodological Shift from Pedagogical to Andragogical Approach” and highlighted the evolving needs of undergraduate learners and emphasized the importance of adopting andragogical strategies to enhance student engagement and learning outcomes. Their participation contributed to the ongoing academic dialogue on the future of English studies in the region and provided valuable representation for the Institute of Space Technology at a national academic forum
2025 IAF Wrold Space Award given to Chang'E6 Lunar Mission including ICUBE-Q
Every year IAF (International Astronautical Federation) gives two World Space Awards....
Every year IAF (International Astronautical Federation) gives two World Space Awards. One in individual category and one in team category. In 2023 Elon Musk got the award in individual category and James Webb Space Telescope team (from NASA CSA and ESA) team category. This year 2025 IAF Space Award in team category has been awarded to Chang'E-6 Lunar team that includes all Payloads (including our ICUBE-Q). Award ceremony will be held during annual IAC in Sydney Australia.
Workshop January 2026
Engineering Beyond the Classroom
https://docs.google.com/forms/d/e/1FAIpQLScpBVmaE_3plGouZd8ZLKrfjobYqTdNmXCVYFG8doeYOv848A/viewform?usp=publish-editor
The International Conference on Engineering Advancements, Science and Technology (ICEAST)
The aim of the International Conference on Engineering Advancements, Science and Technology is to....
The aim of the International Conference on Engineering Advancements, Science and Technology is to foster interdisciplinary collaboration among engineers, scientists, researchers, and industry professionals, providing a global platform for presenting cutting-edge research and technological innovations. Click on link to see details.
The International Conference on Applications of Space Science and Technology (ICAST)
The International Conference on Applications of Space Science and Technology (ICAST) marks a....
The International Conference on Applications of Space Science and Technology (ICAST) marks a transformative milestone in Pakistan's journey through space science and technology. As the largest space event in the country, ICAST unites the legacies of IST’s International Conference on Aerospace Science and Engineering (ICASE) and SUPARCO’s International Conference on Space (ICS) into a biennial global forum of unparalleled excellence. ICAST bringing together visionaries, global thought leaders, pioneering researchers, and industry trailblazers, aspires to redefine the future of space science by fostering collaboration, presenting transformative research, and exploring interdisciplinary space applications with the potential to reshape our collective future.
Alumni Portal
Connect with fellow graduates
Access Portal
https://alumni.ist.edu.pk/
National Center
Leading space research initiatives
/national-centers",https://ist.edu.pk/home-sections/news-events/
Pop Up,,"Announcements
Student Fee Challan Announcement
Students are informed that the fee challan forms are now available. Please access the challan through the provided link and complete the payment within the given deadline.
https://ist.edu.pk/academics?page=615&section=bs-program-fee-challan",https://ist.edu.pk/home-sections/pop-up/
Seminars / Workshops / Trainings,,"Table 1:
SNo: 1 | Training_Workshop_Seminar: Training on Internal Quality Audit | Dates: 30 July 2009
SNo: 2 | Training_Workshop_Seminar: Training on Internal Quality Audit | Dates: 30 Aug 2010-03 Sep 2010
SNo: 3 | Training_Workshop_Seminar: Training on Internal Quality Audit | Dates: 20 Sep 2010-27 Sep 2010
SNo: 4 | Training_Workshop_Seminar: Workshop on Internal Departmental Quality Measurement, Analysis & Reporting | Dates: 02 Feb 2011
SNo: 5 | Training_Workshop_Seminar: Seminar on Quality, Competitiveness & Performance in the current Difficult Socio-Economic Situation | Dates: 2-3 May 2011
SNo: 6 | Training_Workshop_Seminar: Training on KPI's and Data Analysis | Dates: 24 May 2011
SNo: 7 | Training_Workshop_Seminar: Workshop on Preparation of Self Assessment Report and Constructive Feedback on SAR | Dates: 10 June 2011
SNo: 8 | Training_Workshop_Seminar: Quality in Education Institutions (online from HEC) | Dates: 28 June 2011
SNo: 9 | Training_Workshop_Seminar: Workshop on Preparation of SAR | Dates: 01-05 Aug 2011
SNo: 10 | Training_Workshop_Seminar: Awareness on ISO 9001-2008 requirements | Dates: Before Dec 2011
SNo:  11 | Training_Workshop_Seminar: Training on Quality Tools & Techniques-1 | Dates: 20-10-2011
SNo:  12 | Training_Workshop_Seminar: Bloom’s Taxonomy & incorporation in teaching process | Dates: 02-11-2011
SNo: 13 | Training_Workshop_Seminar: Assessment of Self Assessment Report (SAR) | Dates: 30-11-2011
SNo: 14 | Training_Workshop_Seminar: Importance of IST Feedback System for students | Dates: 07-12-2011 & 03-01-2012
SNo: 15 | Training_Workshop_Seminar: Training on  Preparation of SAR | Dates: 22-02-2012
SNo: 16 | Training_Workshop_Seminar: Training on  Preparation of SAR | Dates: 13-06-2012
SNo: 17 | Training_Workshop_Seminar: Training on Assessment of SAR | Dates: 01-08-2012
SNo: 18 | Training_Workshop_Seminar: Training on  Preparation of SAR | Dates: 07-08-2012 
SNo: 19 | Training_Workshop_Seminar: Workshop on “The contributions & Responsibilities of faculty in Self Assessment” | Dates: 14-11-2012
SNo: 20 | Training_Workshop_Seminar: World Quality Day Celebration | Dates: 21-12-2012 
SNo: 21 | Training_Workshop_Seminar: Importance of IST Feedback System for Students & Bloom’s Taxonomy | Dates: 31-12-2012, 01-01-2013 and 04-01-2013
SNo: 22 | Training_Workshop_Seminar: Training on Internal Quality Audit | Dates: 21-02-2013
SNo: 23 | Training_Workshop_Seminar: Training on  Preparation of SAR | Dates: 04-03-2013
SNo: 24 | Training_Workshop_Seminar: Outcome Based Education | Dates: 07-03-2013
SNo: 25 | Training_Workshop_Seminar: Training for PT on Criteria 1 of SAR | Dates: 14-05-2013
SNo: 26 | Training_Workshop_Seminar: Training on Assessment of SAR | Dates: 28-08-2013
SNo: 27 | Training_Workshop_Seminar: Training on  Preparation of SAR  | Dates: 25-07-2013
SNo: 28 | Training_Workshop_Seminar: Two day Workshop on “Effective Teaching & Assessment” | Dates: 31-07-2013, 01-08-2013
SNo: 29 | Training_Workshop_Seminar:  Training session on Preparation of  SAR | Dates: 11-12 -2014 
SNo: 30 | Training_Workshop_Seminar:  Awareness session on “Importance of IST Feedback System for Students” | Dates: 17-12-2013
SNo: 31 | Training_Workshop_Seminar:  Workshop on Writing Self Assessment Report | Dates: 29-October-14 
SNo: 32 | Training_Workshop_Seminar:  Training Session on IST's Quality Management System | Dates: 12-November-14 
SNo: 33 | Training_Workshop_Seminar:  Training Session on Internal Quality Audit | Dates: 13-November-14 
SNo: 34 | Training_Workshop_Seminar:  Follow up Meeting on Self Assessment Reports of MS Programs | Dates: 23-December-14 
SNo: 35 | Training_Workshop_Seminar:  Follow up Meeting on Self Assessment Report of PhD Mechanical Engineering | Dates: 29-December-14 
SNo: 36 | Training_Workshop_Seminar:  Awareness Session on Quality Enhancement Cell, Outcome Based Education, Feedback Surveys and Bloom's Taxonomy | Dates:  18-February-15
SNo: 37 | Training_Workshop_Seminar:  Awareness Session on Assessment of SAR | Dates: 16 & 22-April -15 
SNo: 38 | Training_Workshop_Seminar:  Awareness Session on QEC and Feedback System	 | Dates: 20-Oct-15 
SNo: 39 | Training_Workshop_Seminar:  Preparation of Self Assessment Report | Dates: 4-Dec-15 
SNo: 40 | Training_Workshop_Seminar:  Preparation of Self Assessment Report	 | Dates:  9-Dec-15
SNo: 41 | Training_Workshop_Seminar:  Two day workshop on ""Teaching Competency through MicroTeaching""	 | Dates:  27-28-Jan-16
SNo: 42 | Training_Workshop_Seminar:  Awareness Session on Assessment of SAR	 | Dates: 06,10,13-May-16 
SNo:  43 | Training_Workshop_Seminar: Awareness Session on QEC and Feedback System | Dates: 27-28 Sep 16 
SNo: 44 | Training_Workshop_Seminar: Preparation of Self Assessment Report | Dates: 21-Nov & 14- Dec-16
SNo: 45 | Training_Workshop_Seminar: Awareness Session on QEC and Feedback System | Dates: 20,21,22 & 24 Mar 20176-Apr-2017 
SNo: 46 | Training_Workshop_Seminar: One hour awareness session on Assessment of SAR | Dates: 22,24, 25, 26 May-176 & 13 Jun-17
SNo: 47  | Training_Workshop_Seminar: Awareness Sessions on Quality Assurance at IST | Dates: 27th  Sep, 11th  & 18th Oct 2017 
SNo: 48 | Training_Workshop_Seminar: Outcome Based Education | Dates: 24th Oct 2017
SNo: 49 | Training_Workshop_Seminar: Bloom’s Taxonomy in Design & Assessment of Course Learning Outcomes | Dates: 20th Dec 2017 
SNo: 50 | Training_Workshop_Seminar: Writing Program Self Assessment Report as per HEC guidelines | Dates: 9th & 16th Nov 2017 and 3rd Jan 2018 
SNo: 51 | Training_Workshop_Seminar: Awareness Sessions on Assessment of SAR | Dates: 16th May  & 28th May 2018 
SNo: 52 | Training_Workshop_Seminar: Awareness Sessions on Quality Assurance at IST | Dates: 12th & 13th Sep 2018
SNo: 53 | Training_Workshop_Seminar: Writing Program Self Assessment Report as per HEC guidelines | Dates: 17th and 25th Oct 2018
SNo: 54 | Training_Workshop_Seminar: Awareness Session on Assessment of SAR | Dates: 18th April 2019
SNo: 55 | Training_Workshop_Seminar: Awareness Session on MS & PhD Review as per HEC Guidelines | Dates: 30th April, 2019
SNo:  56 | Training_Workshop_Seminar:  Workshop on “ Teaching Strategies for Present Day Challenges in HEIs” | Dates:  12 Sep,2019
SNo:  57 | Training_Workshop_Seminar:  Session with Freshmen on “Quality Assurance at IST | Dates:  10 Feb,2019
SNo:  58 | Training_Workshop_Seminar: Writing Program Self-Assessment Report as per HEC Guidelines | Dates:  16 Oct,2019
SNo:  59 | Training_Workshop_Seminar:  Writing Program Self-Assessment Report as per HEC Guidelines | Dates:  12 Feb,2020
SNo:  60 | Training_Workshop_Seminar:  Awareness Session on Assessment of SAR | Dates:  29 Sep,2020
SNo:  61 | Training_Workshop_Seminar:  Training on “Outcome Based Education (OBE) System | Dates:  07 July,2021
SNo:  62 | Training_Workshop_Seminar:  Session on “Outcome Based Education (OBE)” | Dates:  21 Sep,2021
SNo:  63 | Training_Workshop_Seminar:  Awareness Session on Quality Assurance at IST | Dates:  05 Nov,2021
SNo:  64 | Training_Workshop_Seminar:  Writing Program Self-Assessment Report as per HEC Guidelines | Dates:  11 Nov,2021
SNo:  65 | Training_Workshop_Seminar:  Session on “Outcome Based Education (OBE)” | Dates:  23 Nov,2021
SNo:  66 | Training_Workshop_Seminar:  Awareness Session on Quality Assurance at IST | Dates:  06 Dec,2021
SNo:  67 | Training_Workshop_Seminar:  Awareness Session on Quality Assurance at IST | Dates:  10 Dec,2021
SNo:  68 | Training_Workshop_Seminar:  Training on “Outcome Based Education (OBE) System” and Lesson plan Designing | Dates:  02 Mar,2022
SNo:  69 | Training_Workshop_Seminar:  Writing Self Assessment Report as per HEC Guidelines-KICSIT Subcamous | Dates:  29 Nov,2022
SNo:  70 | Training_Workshop_Seminar:  Seminar on “Complex Engineering Problems” | Dates:  30 Nov,2022
SNo: 71 | Training_Workshop_Seminar:  Awareness Session on Quality Assurance at IST | Dates:  07 Dec,2022
SNo:  72 | Training_Workshop_Seminar:  Awareness Session on Quality Assurance at IST | Dates:  14 Dec,2022
SNo:  73 | Training_Workshop_Seminar:  Session on “Development of Department / Program Mission”  | Dates:  19 May,2023
SNo:  74 | Training_Workshop_Seminar:  Writing Program Self-Assessment Report as per HEC Guidelines | Dates:  22 Nov,2023
SNo:  75 | Training_Workshop_Seminar:  Session on “Outcome Based Education (OBE)” | Dates:  17 Aug,2023
SNo:  76 | Training_Workshop_Seminar:  Introductory Session on “PSG 2023” | Dates:  02 Apr,2024
SNo:  77 | Training_Workshop_Seminar:  Training Workshop on Outcome Based Education | Dates:  24 Dec,2024
SNo:  78 | Training_Workshop_Seminar:  Overview of International Engineering Allaince V4 & OBE Transformation | Dates:  08 Jan,2024
SNo:  79 | Training_Workshop_Seminar:  Awarness Session for Preparation of Institutional Performance Report to IPER Committee | Dates:  23 May,2024
Seminars / Workshops / Trainings",https://ist.edu.pk/quality-enhancement/seminars-workshops-trainings/
Instructions/Guidelines for Convocation & Rehearsal Day-2025,,"Document: Instructions/Guidelines for Convocation & Rehearsal Day-2025 (2025-09-08)
Instructions/Guidelines for Convocation & Rehearsal Day-2025",https://ist.edu.pk/research/international-conference-on-applications-of-space-science-technology/events-for-2025/instructionsguidelines-for-convocation-rehearsal-day-2025/
Convocation 2025 – Institute of Space Technology (IST),,"We are proud to announce that the 18th Convocation Ceremony of the Institute of Space Technology (IST) will be held this September to confer degrees upon our graduating class of 2025 . Venue: Jinnah Convention Centre, Islamabad Date: 08th September 2025 For: Undergraduate and Graduate Programs This milestone marks the culmination of years of dedication, innovation, and academic excellence. It is a moment to honor the incredible achievements of our students and the guidance of our esteemed faculty. To all our graduating students — the future scientists, engineers, researchers, and leaders — we can’t wait to celebrate your journey. Stay tuned for updates regarding registration, gown collection, and ceremony details.
Convocation 2025 – Institute of Space Technology (IST)",https://ist.edu.pk/research/international-conference-on-applications-of-space-science-technology/events-for-2025/convocation-2025-institute-of-space-technology-ist/
Workshop on Mid-Tier Managers and Professionals Involved In Decision Making and Policy Making,,"--- Workshop on Data-Driven Decision Making ---
A training Workshop is scheduled Mid-Tier Managers and Professionals Involved in Decision Making and Policy Making in the organization on 30-31 July, 2025. Register through QR code given in the poster and get hands-on experience on the journey to the data driven decisions .
Workshop on Mid-Tier Managers and Professionals Involved In Decision Making and Policy Making",https://ist.edu.pk/research/international-conference-on-applications-of-space-science-technology/events-for-2025/workshop-on-mid-tier-managers-and-professionals-involved-in-decision-making-and-policy-making/
Workshop on Bridge the Gap between Cutting-Edge Research and Hands-on Application,,"The ""BJ Micro Lab"" in collaboration with ""Department of Material Sciences and Engineering (IST)"" proudly presents a series of interactive workshops designed to bridge the gap between cutting-edge research and hands-on application. Register now: https://forms.gle/MmKzC7cvnQ6GgoY29
Workshop on Bridge the Gap between Cutting-Edge Research and Hands-on Application",https://ist.edu.pk/research/international-conference-on-applications-of-space-science-technology/events-for-2025/workshop-on-bridge-the-gap-between-cutting-edge-research-and-hands-on-application/
Hands-on Workshop on Python,,"Kickstart Your Coding Journey with Python! In today’s tech-driven world, basic coding skills are essential across all technical fields. Whether you're aiming for engineering, computer science or any STEM discipline — Python is the perfect place to start! IST is offering a 3 Days Python Workshop Dates: 25–27 June 2025 Fee: Rs 5,000 Designed especially for students planning to enter university this fall! This hands-on workshop will give you a strong foundation in Python and prepare you for the academic challenges ahead. Don’t miss this opportunity to future-proof your skills! Register now: https://docs.google.com/forms/d/e/1FAIpQLSdCMtoYO7-Dq4JmswTC4UubR08lqpM6UUL3nWmJYznIokoKbw/viewform
Hands-on Workshop on Python",https://ist.edu.pk/research/international-conference-on-applications-of-space-science-technology/events-for-2025/hands-on-workshop-on-python/
"Workshop on “Plasma Spray Coatings for Industrial Applications""",,"--- Workshop on “Coatings for Industrial Applications ---
Center for Surface Engineering and Tribology, Materials Science and Engineering Department, Institute of Space Technology (IST) with its expertise in materials and surface engineering and corrosion advisory is committed to enlighten the public and private industry of Pakistan by organizing a series of short courses and workshops in specialized engineering areas on a regular basis. These short courses are specially designed to provide a practical understanding of the topics based upon theoretical knowledge of concepts that are involved in the field of Surface engineering through a combination of lectures, lab sessions, and various case studies. This course is highly recommended for professionals dealing with material/coating failures in various fields of engineering in general and personnel dealing with corrosion and tribological analysis in particular. The participation in this short course would help build a pool of qualified professionals with knowledge of the failures generating prudent corrective preventive measures (CPMs).
Workshop on “Plasma Spray Coatings for Industrial Applications""",https://ist.edu.pk/research/international-conference-on-applications-of-space-science-technology/events-for-2025/workshop-on-plasma-spray-coatings-for-industrial-applications/
News & Events,,"20 Jan 2021: Director WiSP Lab, Dr. Farrukh Aziz Bhatti recently gave interview to ProUrdu news portal and he discussed about some of the technology fields that are in high demand, the evolving job market due to diffusion of technology and the need for developing skillsets to cope with the changing market needs. He also discussed about the projects being done in WiSP and iVISION labs and the kind of scrutiny done when hiring engineers and researchers for the industry projects being done in these labs. Video Link
07 Oct 2020: Dr. Syed Ali Irtaza has recently returned back from South Korea after completing his PhD from Hanyang University. He delivered a talk in WiSP Lab and discussed his research work about Multi-User Detection Techniques for Grant-Free Access in 5G Massive Machine Type Communications. Massive machine type communications (MMTC) framework targets the wireless connectivity of the autonomous devices in the 5G network. There are many challenges that need to be addressed and much effort is required to completely harness the benefits of 5G MMTC as the behavior of the autonomous devices is quite different form the existing human-centric devices. Therefore, in his talk efficient techniques were introduced to enhance the MMTC communications. One of the proposed technique introduce was to use the pilot and data symbols, and the other techniques include the use of prior information and exploit the inherent structure among the devices’ activity pattern. Finally, computationally efficient algorithms were discussed for the detection of multiusers in 5G network. 30 Jan 2020: Dr. Zaineb Farooq discussed her recently completed PhD work on the topic - Precise localization using Global Navigation Satellite Systems (GNSS) . She discussed the concept of positioning using GNSS measurements. The prevalent schemes for precise positioning using GNSS measurements, namely Precise Point Positioning (PPP) and Real Time Kinematic (RTK) were introduced. This was followed by the problem of cycle slips in RTK and ways to mitigate it. Using single frequency GNSS receivers, it was seen that once cycle slips are detected and corresponding measurements taken care of, cm level positioning accuracy can be achieved. Finally, the applications of low cost single frequency receivers in precise positioning were presented. The talk was followed by an interactive discussion on other use cases including indoor localization etc. 06 Jan 2020: Dr. Adeel Razi gave a talk on Neuroscience-inspired Artificial Intelligence . Dr. Razi is an Australian Research Council DECRA Fellow at the Monash University and he is actively collaborating on many computational neuroscience projects with Dr. Sadia Shakil. He explained brain’s anatomy and described how the data gathered non-invasively from the brain is often caused by more than one phenomenon inside the brain. Consequently, the relationship between the brain data and its cause can be one-to-many and more than one mathematical model can fit the data. He then explained the way in which Dynamic Causal Modeling (DCM) is used to find the best models for data fitting. In the next part of his talk, described active inference that is an approach to understanding behavior that rests upon the idea that the brain uses an internal generative model to predict incoming sensory data. He concluded the talk by showcasing recent developments in in-vitro active inference leading towards a proof of principal showing that cultured neurons in a lab can be trained to play a game of pong. The talk was followed by interactive discussion and Q&A session. 02 Nov 2019: Dr. Majid Butt gave a seminar about UE Positioning in a Dense 5G Millimeter Wave Deployment using Supervised Deep Learning . He discussed about some of the key performance metrics of 5G, such as, ultra reliable low latency communication (URLLC) with reliability requirements of >99% and latency requirements of a few milliseconds. He compared conventional positioning indoor positioning schemes with Machine Learning-based positioning while explaining how well can machine learning in a 5G base station (gNB) predict UE positions using available 5G NR CSI report. He then concluded that a combination of serving and neighboring cell beam reports should be used with at least 2 beams coming from the serving cell and at least one from the neighboring cell. The initial results indicate that this approach can give a localization accuracy of a few meters in the indoor environments. The talk was followed by an interactive discussion and QA session. 29 Aug 2019 : EE-14 students Ali Yaseen and Sultan Khan were awarded best final year project Gold Medal at the IST convocation on 29 Aug 2019. The project was titled “Design and formal verification of motion detection using LoRA (Low Range) WAN” and was supervised by Dr. Sobia Jangsher. The project successfully demonstrated indoor localization (without GPS) using LoRA access points. 30 Jan 2019 : A team of researchers from Military College Signals (NUST) visits WiSP Lab for collaboration on Software Radio projects.
News & Events",https://ist.edu.pk/research/wireless-signal-processing-lab-wisp/news-events/
